index,s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lat_deg,lon_deg,elevation_m
0,0.0,0.0,0.0,0.0,0.0,3.0,,,
1,0.5,0.5,0.0,0.0,0.0,3.0,,,
2,1.0,1.0,0.0,0.0,0.0,3.0,,,
3,1.5,1.5,0.0,0.0,0.0,3.0,,,
4,2.0,2.0,0.0,0.0,0.0,3.0,,,
5,2.5,2.5,0.0,0.0,0.0,3.0,,,
6,3.0,3.0,0.0,0.0,0.0,3.0,,,
7,3.5,3.5,0.0,0.0,0.0,3.0,,,
8,4.0,4.0,0.0,0.0,0.0,3.0,,,
9,4.5,4.5,0.0,0.0,0.0,3.0,,,
10,5.0,5.0,0.0,0.0,0.0,3.0,,,
11,5.5,5.5,0.0,0.0,0.0,3.0,,,
12,6.0,6.0,0.0,0.0,0.0,3.0,,,
13,6.5,6.5,0.0,0.0,0.0,3.0,,,
14,7.0,7.0,0.0,0.0,0.0,3.0,,,
15,7.5,7.5,0.0,0.0,0.0,3.0,,,
16,8.0,8.0,0.0,0.0,0.0,3.0,,,
17,8.5,8.5,0.0,0.0,0.0,3.0,,,
18,9.0,9.0,0.0,0.0,0.0,3.0,,,
19,9.5,9.5,0.0,0.0,0.0,3.0,,,
20,10.0,10.0,0.0,0.0,0.0,3.0,,,
21,10.5,10.5,0.0,0.0,0.0,3.0,,,
22,11.0,11.0,0.0,0.0,0.0,3.0,,,
23,11.5,11.5,0.0,0.0,0.0,3.0,,,
24,12.0,12.0,0.0,0.0,0.0,3.0,,,
25,12.5,12.5,0.0,0.0,0.0,3.0,,,
26,13.0,13.0,0.0,0.0,0.0,3.0,,,
27,13.5,13.5,0.0,0.0,0.0,3.0,,,
28,14.0,14.0,0.0,0.0,0.0,3.0,,,
29,14.5,14.5,0.0,0.0,0.0,3.0,,,
30,15.0,15.0,0.0,0.0,0.0,3.0,,,
31,15.5,15.5,0.0,0.0,0.0,3.0,,,
32,16.0,16.0,0.0,0.0,0.08333333333333333,3.0,,,
33,16.499289962548275,16.499181905518732,0.010387102779226609,0.041610498723043676,0.08333333333333333,3.0,,,
34,16.99857992509655,16.997499635411103,0.041530429132885516,0.08322099744608737,0.08333333333333333,3.0,,,
35,17.497869887644818,17.494090510097593,0.09337606423901867,0.1248314961691308,0.08333333333333333,3.0,,,
36,17.99715985019309,17.988094839502445,0.16583425377421257,0.16644199489217446,0.08333333333333333,3.0,,,
37,18.496449812741364,18.47865741133517,0.25877955929481544,0.20805249361521816,0.08333333333333333,3.0,,,
38,18.995739775289636,18.96492897162022,0.3720510753939479,0.24966299233826159,0.08333333333333333,3.0,,,
39,19.495029737837907,19.44606769491172,0.5054527082583284,0.29127349106130535,0.08333333333333333,3.0,,,
40,19.994319700386182,19.921240641648016,0.6587535151427097,0.33288398978434897,0.08333333333333333,3.0,,,
41,20.493609662934453,20.389625200123163,0.8316881041742175,0.3744944885073927,0.08333333333333333,3.0,,,
42,20.992899625482725,20.850410510578982,1.0239570937944613,0.4161049872304363,0.08333333333333333,3.0,,,
43,21.492189588030996,21.30279886895233,1.2352276310440313,0.4577154859534798,0.08333333333333333,3.0,,,
44,21.991479550579268,21.746007107847447,1.465133967792159,0.4993259846765235,0.08333333333333333,3.0,,,
45,22.490769513127542,22.17926795234267,1.7132780939139405,0.5409364833995671,0.08333333333333333,3.0,,,
46,22.990059475675814,22.60183134828433,1.979230426319031,0.5825469821226107,0.08333333333333333,3.0,,,
47,23.48934943822409,23.012965760768367,2.262530552638916,0.6241574808456543,0.08333333333333333,3.0,,,
48,23.98863940077236,23.41195944056168,2.562688028285356,0.6657679795686979,0.08333333333333333,3.0,,,
49,24.487929363320635,23.798121656270904,2.8791832255001015,0.7073784782917415,0.08333333333333333,3.0,,,
50,24.987219325868907,24.170783890125357,3.2114682329260518,0.7489889770147852,0.08333333333333333,3.0,,,
51,25.486509288417178,24.52930099530421,3.558967804142519,0.7905994757378287,0.08333333333333333,3.0,,,
52,25.985799250965453,24.873052312804205,3.9210803535225107,0.8322099744608724,0.08333333333333333,3.0,,,
53,26.485089213513724,25.201442745914434,4.297178997688015,0.8738204731839161,0.08333333333333333,3.0,,,
54,26.984379176061996,25.513903790438167,4.686612640760352,0.9154309719069597,0.08333333333333333,3.0,,,
55,27.48366913861027,25.809894518878075,5.08870710152681,0.9570414706300032,0.08333333333333333,3.0,,,
56,27.982959101158542,26.088902516881152,5.502766280572234,0.9986519693530469,0.08333333333333333,3.0,,,
57,28.482249063706814,26.350444770322156,5.92807336535505,1.0402624680760906,0.08333333333333333,3.0,,,
58,28.981539026255085,26.594068501489815,6.363892071141531,1.0818729667991343,0.08333333333333333,3.0,,,
59,29.480828988803356,26.819351952928287,6.8094679156499875,1.1234834655221777,0.08333333333333333,3.0,,,
60,29.980118951351628,27.025905117576805,7.264029525198284,1.1650939642452214,0.08333333333333333,3.0,,,
61,30.479408913899903,27.213370413943615,7.726789970093438,1.206704462968265,0.08333333333333333,3.0,,,
62,30.978698876448174,27.381423305145223,8.196948126951568,1.2483149616913085,0.08333333333333333,3.0,,,
63,31.477988838996446,27.529772860739428,8.673690065589714,1.2899254604143522,0.08333333333333333,3.0,,,
64,31.977278801544717,27.658162260379356,9.156190458088574,1.3315359591373959,0.08333333333333333,3.0,,,
65,32.47656876409299,27.766369238416708,9.643614007586832,1.3731464578604395,0.08333333333333333,3.0,,,
