index,s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lat_deg,lon_deg,elevation_m
0,0.0,0.0,0.0,-0.1514283237369104,9.782104387382425e-18,7.0,,,
1,0.5,0.5360014610933468,-0.08126208936967703,-0.14852624192708908,0.010739295561051408,7.0,,,
2,1.0,1.0704923713715881,-0.159114580583983,-0.13975557112916934,0.021836797599123093,7.0,,,
3,1.5,1.6019621800196184,-0.23014787548754684,-0.12492252024376975,0.03365989498646899,7.0,,,
4,2.0,2.1289003362223324,-0.29095237592499745,-0.10370298043597899,0.04659091734897472,7.0,,,
5,2.5,2.6497962891646254,-0.3381184837409638,-0.07564308649262926,0.06102462082989606,7.0,,,
6,3.0,3.1631394880313897,-0.3682366007800749,-0.04016511615686347,0.07734956254403241,7.0,,,
7,3.5,3.667419382007522,-0.3778971288869596,0.0034147430457461708,0.09590101246384203,7.0,,,
8,4.0,4.161125420277916,-0.3636904699062468,0.05584658983052087,0.11686818351873249,7.0,,,
9,4.5,4.642747052027467,-0.3222070256825655,0.11787081626943921,0.14013764649196467,7.0,,,
10,5.0,5.110773726441067,-0.2500371980605446,0.19008971661654417,0.16506824830919647,7.0,,,
11,5.5,5.563694892703614,-0.1437713888848131,0.2727755668875047,0.19023773666417798,7.0,,,
12,6.0,6.0,0.0,0.3656244326913408,0.2132886775705013,7.0,,,
13,6.5,6.418781002528558,0.18348452296053983,0.45869404661903196,0.19268001602595367,7.0,,,
14,7.0,6.82153987454137,0.40408155920854666,0.5415643904693942,0.16771183424045633,7.0,,,
15,7.5,7.210381095303955,0.6579884441670347,0.6133271825749187,0.1412979769971559,7.0,,,
16,8.0,7.587409144081833,0.9414025132590181,0.6738247780831402,0.11547860185943215,7.0,,,
17,8.5,7.954728500140521,1.250521101907511,0.7233852432753735,0.09137912731022997,7.0,,,
18,9.0,8.314443642745537,1.581541545535528,0.7625851217532269,0.06941679694504554,7.0,,,
19,9.5,8.668659051162408,1.930661179566083,0.7920753295715283,0.04955532439292479,7.0,,,
20,10.0,9.019479204656646,2.2940773394221896,0.8124702339068715,0.031511382731243744,7.0,,,
21,10.5,9.369008582493771,2.667987360526863,0.8242856160550333,0.01489208903501726,7.0,,,
22,11.0,9.719351663939303,3.048588578303117,0.8279096960321123,-0.0007239762349843386,7.0,,,
23,11.5,10.072612928258764,3.4320783281739664,0.8235950529719329,-0.015742008039819386,7.0,,,
24,12.0,10.430896854717666,3.814653945562424,0.8114639288100749,-0.030524734021630397,7.0,,,
25,12.5,10.796307922581537,4.192512765891506,0.7915234802106365,-0.045371431555419305,7.0,,,
26,13.0,11.170950611115892,4.561852124584225,0.7636907300919226,-0.060492740368409265,7.0,,,
27,13.5,11.556929399586247,4.918869357063595,0.7278292970921535,-0.07597498353151579,7.0,,,
28,14.0,11.956348767258127,5.25976179875263,0.6838013272200221,-0.09173168084838586,7.0,,,
29,14.5,12.371313193397047,5.580726785074347,0.6315378710190888,-0.10744676334347932,7.0,,,
30,15.0,12.80392715726853,5.877961651451757,0.5711282040638492,-0.12252536027891289,7.0,,,
31,15.5,13.256158554803015,6.147770772735065,0.5045389373047935,-0.12536747913423643,7.0,,,
32,16.0,13.727578209490977,6.388337093079878,0.4396520379676411,-0.11991975497422215,7.0,,,
33,16.5,14.215712391186104,6.599445859367942,0.37714070880089,-0.1152659792669708,7.0,,,
34,17.0,14.718021849866775,6.780933665959955,0.3166201646858817,-0.11148143981697253,7.0,,,
35,17.5,15.231967335511374,6.932637107216607,0.25768352938384226,-0.1086099850732208,7.0,,,
36,18.0,15.755009598098285,7.054392777498592,0.19991059793737448,-0.10667708217860622,7.0,,,
37,18.5,16.284609387605894,7.146037271166603,0.14287289123293717,-0.10569957004153605,7.0,,,
