case,group,route,route_cn,algo,algo_cn,max_steer_deg,cruise_target_mps,status,mean_lateral_error_m,max_lateral_error_m,finish_error_m,mean_heading_error_rad,max_steer_rad,max_acceleration_mps2,max_normal_acceleration_mps2,max_side_slip_beta_rad,max_yaw_rate_radps,min_speed_mps,steps,reached_goal,end_time_s,completion_time_s,rms_lateral_error_m,p95_lateral_error_m,mean_abs_steer_rate_radps,max_abs_steer_rate_radps,steer_rate_above_config_fraction,steer_saturation_fraction,moving_mean_lateral_error_m,moving_mean_abs_steer_rate_radps,moving_duration_s,mean_speed_mps,reference_progress_fraction,peak_error_time_s,peak_error_reference_s_m,peak_error_x_m,peak_error_y_m,abs_curvature_at_peak_error_1pm,max_visited_abs_curvature_1pm,first_peak_curvature_time_s,last_peak_curvature_time_s,max_reference_abs_curvature_1pm
core__double_lane_change__lqr_kinematic__steer35,core,double_lane_change,双移线,lqr_kinematic,运动学 LQR,35.0,7.0,reached_goal,0.19036415988894992,0.6584478646570556,0.9224760129619359,0.05335323719962549,0.6108652381980153,2.7083872426122393,9.21386206744372,0.33676726103229854,1.8484613047580536,0.0,140,True,13.899999999999967,13.899999999999967,0.24939362780731406,0.48331162840759667,4.365639183204092,12.21730476396035,0.6258992805755396,0.19285714285714287,0.19558609150043157,4.49497921885967,13.600000000000001,4.7727036117667705,1.0,5.699999999999996,26.5,23.270128786125092,3.855668442772406,0.09222859485261922,0.2132886775705013,2.500000000000001,2.500000000000001,0.2132886775705013
core__double_lane_change__mpc__steer35,core,double_lane_change,双移线,mpc,MPC,35.0,7.0,reached_goal,0.18488103199979605,0.5035790431394921,0.07828722314010912,0.058827007340693,0.4787063465986641,2.0,8.765577989555567,0.2538845163265276,1.365897699141913,0.0,137,True,13.599999999999968,13.599999999999968,0.23783304212591333,0.45716723994546127,0.521809924279968,2.3216920582798046,0.27205882352941174,0.0,0.19030355483181285,0.5344070765311496,13.3,4.743948353116317,1.0,5.299999999999997,24.0,21.721599960803736,5.584781960759562,0.15981976795573752,0.2132886775705013,2.500000000000001,2.500000000000001,0.2132886775705013
core__double_lane_change__pp__steer35,core,double_lane_change,双移线,pp,PP,35.0,7.0,reached_goal,0.3143249041760758,0.9447312773819638,0.979725223587145,0.0862224007614476,0.3354998385099982,2.6531474981469776,9.206475260152974,0.17260599544187136,0.9427535423433672,0.0,137,True,13.599999999999968,13.599999999999968,0.419787195923143,0.8154588084345196,0.15683229949463917,0.629653777708982,0.0,0.0,0.3234531893081437,0.1599431533124877,13.3,4.725186272011036,1.0,6.8999999999999915,36.0,29.89974097625824,-2.4424633219208305,0.18541344879132185,0.2132886775705013,2.500000000000001,2.500000000000001,0.2132886775705013
core__right_angle__lqr_kinematic__steer35,core,right_angle,直角弯,lqr_kinematic,运动学 LQR,35.0,5.5,reached_goal,0.09889055101768383,0.718553466739319,0.897993521305021,0.025991457434620738,0.6108652381980153,2.716727184326312,5.979066202180069,0.33676726103229854,1.4417997396513034,0.0,115,True,11.399999999999975,11.399999999999975,0.20705065153184563,0.5524108357027985,0.6267714722509349,6.108652381980175,0.2807017543859649,0.034782608695652174,0.10243004840620183,0.64956290454157,11.100000000000001,3.8430137058186524,1.0,5.299999999999997,20.99708369789497,18.239941040397632,4.3928368855714,0.2,0.2,4.100000000000001,5.299999999999997,0.2
core__right_angle__mpc__steer35,core,right_angle,直角弯,mpc,MPC,35.0,5.5,reached_goal,0.06674999505984196,0.4881066065295979,0.041136298673500875,0.02983722115352355,0.6108652381980153,2.0,5.535913833001718,0.33676726103229854,1.3615011542921407,0.0,115,True,11.399999999999975,11.399999999999975,0.15472799891957542,0.4603368090270506,0.13262428040009172,2.1044177698876227,0.043859649122807015,0.008695652173913044,0.06915475610787489,0.13744641993950604,11.100000000000001,3.770352823876499,1.0,5.299999999999997,20.99708369789497,18.422310558672184,4.094362328652394,0.2,0.2,4.100000000000001,5.399999999999997,0.2
core__right_angle__pp__steer35,core,right_angle,直角弯,pp,PP,35.0,5.5,reached_goal,0.1351843538920344,1.1064153256761737,0.934053876446814,0.04301346773597039,0.423803179562259,2.701895950667839,5.970328147876334,0.22185784539965442,0.9567319587941906,0.0,114,True,11.299999999999976,11.299999999999976,0.32419487100814864,0.971887577269536,0.07666888676797852,0.7659151163757895,0.0,0.0,0.14008536320861972,0.0794821910389614,11.0,3.822895383484062,1.0,4.799999999999999,18.49812523436105,17.09054516257457,2.630865722509007,0.2,0.2,4.100000000000001,5.1999999999999975,0.2
core__s_curve__lqr_kinematic__steer35,core,s_curve,S 弯,lqr_kinematic,运动学 LQR,35.0,6.5,reached_goal,0.21636706292096217,0.5469033571546135,0.8428630050530166,0.051559273978979824,0.6108652381980153,2.595647254848302,11.187748146984486,0.33676726103229854,1.7176899630197842,0.0,150,True,14.899999999999963,14.899999999999963,0.26981630604155454,0.506948451360887,1.457566336774316,9.37662172635034,0.40268456375838924,0.04,0.22179857543249232,1.4977466670355577,14.600000000000001,4.67788495790835,1.0,6.299999999999994,29.5,26.489804575577125,-2.3489360971920035,0.08757921842391739,0.26497946270175177,8.099999999999987,8.099999999999987,0.27054968673984287
core__s_curve__mpc__steer35,core,s_curve,S 弯,mpc,MPC,35.0,6.5,reached_goal,0.1847729614458767,0.4891206260919289,0.04733406624214179,0.06414263633355861,0.6108652381980153,2.0,10.327122401179953,0.33676726103229854,1.6279582706405318,0.0,147,True,14.599999999999964,14.599999999999964,0.23237964596122943,0.4383856461112203,0.44804835497296425,2.813683412710137,0.19863013698630136,0.006802721088435374,0.18974707727330575,0.45976475354488994,14.3,4.697040882811691,1.0,5.999999999999995,27.5,24.942156922550726,-3.2717303164949576,0.1937859457993259,0.27054968673984287,5.799999999999995,5.799999999999995,0.27054968673984287
core__s_curve__pp__steer35,core,s_curve,S 弯,pp,PP,35.0,6.5,reached_goal,0.33315855092368635,1.1710314990343145,0.8971423039036026,0.09648765732894549,0.5870630891023823,2.5495093337189934,11.185744866420466,0.3211401279805137,0.9468405521636557,0.0,147,True,14.599999999999964,14.599999999999964,0.4590771830710387,1.014107299322255,0.2917766142615937,9.67448726870826,0.02054794520547945,0.0,0.34226078580534874,0.29976499556474734,14.3,4.637916051486373,1.0,7.899999999999988,41.0,36.347333501491775,2.853727021004531,0.26497946270175177,0.26497946270175177,7.899999999999988,7.899999999999988,0.27054968673984287
steering__right_angle__lqr_kinematic__steer15,steering,right_angle,直角弯,lqr_kinematic,运动学 LQR,15.0,5.5,reached_goal,0.7443547367692661,3.5282509183150417,0.8533549769523949,0.1419775997303163,0.2617993877991494,2.7588488950596854,6.00544565505751,0.13318154107123603,0.5836698268438839,0.0,120,True,11.899999999999974,11.899999999999974,1.3443038265926304,3.357830964301759,0.10158903632704797,2.6179938779915033,0.03361344537815126,0.2833333333333333,0.7694506711045794,0.10512219076893026,11.600000000000001,3.9121182342827825,1.0,6.5999999999999925,25.850783104274782,22.52825091831504,9.196092213670372,0.0,0.2,4.100000000000001,5.699999999999996,0.2
