index,s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lat_deg,lon_deg,elevation_m
0,0.0,621.7453313895926,-342.3074341888842,2.905776985419091,0.1570062903200875,8.0,31.885425,118.821078,9.0
1,1.0,620.9688067621861,-342.1208459611281,3.0627832757391786,0.14110406301239475,8.0,31.885426676150573,118.82106978445138,9.0
2,2.0,619.9698826992634,-342.16722177933326,-3.095200195735706,0.06260091785235233,8.0,31.88542625954951,118.8210592159402,9.0
3,3.0,618.9709586363408,-342.2135975975384,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885425842948447,118.82104864742902,9.0
4,4.0,617.9720345734182,-342.25997341574356,-3.0952001957357034,0.0,8.0,31.885425426347382,118.82103807891784,9.0
5,5.0,616.9731105104956,-342.3063492339487,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.88542500974632,118.82102751040667,9.0
6,6.0,615.9741864475731,-342.35272505215386,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885424593145256,118.82101694189548,9.0
7,7.0,614.9752623846504,-342.399100870359,-3.095200195735706,1.3322676295501878e-15,8.0,31.885424176544195,118.82100637338431,9.0
8,8.0,613.9763383217278,-342.44547668856416,-3.0952001957357034,1.3322676295501878e-15,8.0,31.88542375994313,118.82099580487312,9.0
9,9.0,612.9774142588052,-342.4918525067693,-3.0952001957357034,0.0,8.0,31.88542334334207,118.82098523636193,9.0
10,10.0,611.9784901958826,-342.53822832497445,-3.0952001957357034,0.0,8.0,31.885422926741004,118.82097466785076,9.0
11,11.0,610.97956613296,-342.5846041431796,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885422510139943,118.82096409933958,9.0
12,12.0,609.9806420700374,-342.63097996138475,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885422093538878,118.8209535308284,9.0
13,13.0,608.9817180071148,-342.6773557795899,-3.095200195735706,1.3322676295501878e-15,8.0,31.885421676937817,118.82094296231722,9.0
14,14.0,607.9827939441922,-342.72373159779505,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885421260336752,118.82093239380605,9.0
15,15.0,606.9838698812696,-342.7701074160002,-3.0952001957357034,0.0,8.0,31.88542084373569,118.82092182529486,9.0
16,16.0,605.984945818347,-342.81648323420535,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885420427134626,118.82091125678367,9.0
17,17.0,604.9860217554244,-342.8628590524105,-3.095200195735706,-1.3322676295501878e-15,8.0,31.88542001053356,118.8209006882725,9.0
18,18.0,603.9870976925017,-342.90923487061565,-3.095200195735706,1.3322676295501878e-15,8.0,31.8854195939325,118.82089011976132,9.0
19,19.0,602.9881736295791,-342.9556106888208,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885419177331435,118.82087955125014,9.0
20,20.0,601.9892495666566,-343.00198650702595,-3.0952001957357034,0.0,8.0,31.885418760730374,118.82086898273896,9.0
21,21.0,600.990325503734,-343.0483623252311,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.88541834412931,118.82085841422779,9.0
22,22.0,599.9914014408114,-343.09473814343625,-3.095200195735706,-1.3322676295501878e-15,8.0,31.88541792752825,118.8208478457166,9.0
23,23.0,598.9924773778887,-343.1411139616414,-3.095200195735706,1.3322676295501878e-15,8.0,31.885417510927184,118.82083727720543,9.0
24,24.0,597.9935533149661,-343.18748977984654,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885417094326122,118.82082670869424,9.0
25,25.0,596.9946292520435,-343.2338655980517,-3.0952001957357034,0.0,8.0,31.885416677725058,118.82081614018306,9.0
26,26.0,595.9957051891209,-343.28024141625684,-3.0952001957357034,0.0,8.0,31.885416261123996,118.82080557167188,9.0
27,27.0,594.9967811261984,-343.326617234462,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.88541584452293,118.8207950031607,9.0
28,28.0,593.9978570632758,-343.37299305266714,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885415427921867,118.82078443464952,9.0
29,29.0,592.9989330003531,-343.4193688708723,-3.095200195735706,1.3322676295501878e-15,8.0,31.885415011320806,118.82077386613834,9.0
30,30.0,592.0000089374305,-343.46574468907744,-3.0952001957357034,1.3322676295501878e-15,8.0,31.88541459471974,118.82076329762717,9.0
31,31.0,591.0010848745079,-343.5121205072826,-3.0952001957357034,0.0,8.0,31.88541417811868,118.82075272911598,9.0
32,32.0,590.0021608115853,-343.55849632548774,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885413761517615,118.8207421606048,9.0
33,33.0,589.0032367486627,-343.6048721436929,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885413344916554,118.82073159209362,9.0
34,34.0,588.00431268574,-343.65124796189804,-3.095200195735706,1.3322676295501878e-15,8.0,31.88541292831549,118.82072102358244,9.0
35,35.0,587.0053886228175,-343.6976237801032,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885412511714428,118.82071045507126,9.0
36,36.0,586.0064645598949,-343.74399959830833,-3.0952001957357034,0.0,8.0,31.885412095113363,118.82069988656008,9.0
37,37.0,585.0075404969723,-343.7903754165135,-3.0952001957357034,0.0,8.0,31.885411678512302,118.8206893180489,9.0
38,38.0,584.0086164340497,-343.83675123471863,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885411261911237,118.82067874953772,9.0
39,39.0,583.0096923711271,-343.8831270529238,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885410845310176,118.82066818102655,9.0
40,40.0,582.0107683082044,-343.92950287112893,-3.095200195735706,1.3322676295501878e-15,8.0,31.88541042870911,118.82065761251536,9.0
41,41.0,581.0118442452818,-343.9758786893341,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885410012108046,118.82064704400418,9.0
42,42.0,580.0129201823593,-344.02225450753923,-3.0952001957357034,0.0,8.0,31.885409595506985,118.820636475493,9.0
43,43.0,579.0139961194367,-344.0686303257444,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.88540917890592,118.82062590698182,9.0
44,44.0,578.0150720565141,-344.11500614394953,-3.095200195735706,-1.3322676295501878e-15,8.0,31.88540876230486,118.82061533847065,9.0
45,45.0,577.0161479935914,-344.1613819621547,-3.095200195735706,1.3322676295501878e-15,8.0,31.885408345703794,118.82060476995946,9.0
46,46.0,576.0172239306688,-344.2077577803598,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885407929102733,118.82059420144829,9.0
47,47.0,575.0182998677462,-344.254133598565,-3.0952001957357034,0.0,8.0,31.88540751250167,118.8205836329371,9.0
48,48.0,574.0193758048237,-344.3005094167701,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885407095900607,118.82057306442591,9.0
49,49.0,573.0204517419011,-344.3468852349753,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885406679299543,118.82056249591474,9.0
50,50.0,572.0215276789784,-344.3932610531804,-3.095200195735706,1.3322676295501878e-15,8.0,31.88540626269848,118.82055192740356,9.0
51,51.0,571.0226036160558,-344.4396368713856,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885405846097417,118.82054135889238,9.0
52,52.0,570.0236795531332,-344.4860126895907,-3.0952001957357034,0.0,8.0,31.885405429496355,118.8205307903812,9.0
53,53.0,569.0247554902106,-344.5323885077959,-3.0952001957357034,0.0,8.0,31.88540501289529,118.82052022187003,9.0
54,54.0,568.025831427288,-344.578764326001,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885404596294226,118.82050965335884,9.0
55,55.0,567.0269073643655,-344.62514014420617,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885404179693165,118.82049908484767,9.0
56,56.0,566.0279833014428,-344.6715159624113,-3.095200195735706,1.3322676295501878e-15,8.0,31.8854037630921,118.82048851633648,9.0
57,57.0,565.0290592385202,-344.71789178061647,-3.0952001957357034,1.3322676295501878e-15,8.0,31.88540334649104,118.8204779478253,9.0
58,58.0,564.0301351755976,-344.7642675988216,-3.0952001957357034,0.0,8.0,31.885402929889974,118.82046737931412,9.0
59,59.0,563.031211112675,-344.81064341702677,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885402513288913,118.82045681080294,9.0
60,60.0,562.0322870497524,-344.8570192352319,-3.095200195735706,-1.3322676295501878e-15,8.0,31.885402096687848,118.82044624229177,9.0
61,61.0,561.0333629868297,-344.90339505343707,-3.095200195735706,1.3322676295501878e-15,8.0,31.885401680086787,118.82043567378058,9.0
62,62.0,560.0344389239071,-344.9497708716422,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885401263485722,118.82042510526941,9.0
63,63.0,559.0355148609846,-344.99614668984736,-3.0952001957357034,0.0,8.0,31.88540084688466,118.82041453675822,9.0
64,64.0,558.036590798062,-345.0425225080525,-3.0952001957357034,-1.4210854715202004e-14,8.0,31.885400430283596,118.82040396824704,9.0
65,65.0,557.0376667351394,-345.08889832625766,-3.095200195735732,-1.554312234475219e-14,8.0,31.88540001368253,118.82039339973586,9.0
66,66.0,556.0387426722168,-345.13527414446276,-3.0952001957357345,1.2878587085651816e-14,8.0,31.88539959708147,118.82038283122468,9.0
67,67.0,555.0398186092941,-345.1816499626679,-3.095200195735706,1.554312234475219e-14,8.0,31.885399180480405,118.8203722627135,9.0
68,68.0,554.0408945463715,-345.22802578087305,-3.0952001957357034,1.3322676295501878e-15,8.0,31.885398763879344,118.82036169420232,9.0
69,69.0,553.041970483449,-345.2744015990782,-3.0952001957357034,0.0,8.0,31.88539834727828,118.82035112569115,9.0
70,70.0,552.0430464205264,-345.32077741728335,-3.0952001957357034,-1.3322676295501878e-15,8.0,31.885397930677218,118.82034055717996,9.0
